part_name,category,subcategory,brand,manufacturer_article_no,supplier,purchase_price_excl_vat,sales_price_excl_vat,quantity_unit,stock_qty,min_stock_level,electric_compatible,diesel_compatible,hybrid_compatible,standard_or_optional,boat_model_compat
"Example Hull Plating 850","1. Hull & Structural Components","1.1 Hull Construction","Navisol","NAV-HULL-850","","8500","12500","pcs","5","2","true","true","true","Standard","Eagle 750;Eagle 850;Eagle 1000;Eagle 1200"
"Example Electric Motor 20kW","2. Propulsion & Drivetrain","2.1 Motorisation (Electric/Diesel/Hybrid)","Torqeedo","TQ-CRUISE-20","Torqeedo GmbH","16000","21500","pcs","2","1","true","false","true","Standard","Eagle 850;Eagle 1000;Eagle 1200"
"Example Diesel Motor 30HP","2. Propulsion & Drivetrain","2.1 Motorisation (Electric/Diesel/Hybrid)","Vetus","VETUS-M3.29","Vetus Maxwell","9800","13500","pcs","2","1","false","true","true","Standard","Eagle 850;Eagle 1000;Eagle 1200"
"Example Propeller Shaft 30mm","2. Propulsion & Drivetrain","2.2 Propeller Shaft System","Vetus","VETUS-SHAFT30","Vetus Maxwell","420","650","pcs","6","2","true","true","true","Standard","Eagle 750;Eagle 850;Eagle 1000;Eagle 1200"
"Example Steering Wheel 380mm","3. Steering System","3.2 Mechanical Components","Ultraflex","UF-SW380-C","Ultraflex","285","420","pcs","10","3","true","true","true","Standard","Eagle 750;Eagle 850;Eagle 1000;Eagle 1200"
"Example Navigation Light Set","4. Electrical System & Navigation","4.2 Navigation & Communication","Aqua Signal","AS-NAV-LED-SET","Aqua Signal","320","485","set","12","4","true","true","true","Standard","Eagle 750;Eagle 850;Eagle 1000;Eagle 1200"
"Example Bow Thruster","4. Electrical System & Navigation","4.5 Bow Thruster System","Vetus","VETUS-BOWPRO57","Vetus Maxwell","1200","2000","pcs","4","2","true","true","true","Optional","Eagle 750;Eagle 850;Eagle 1000;Eagle 1200"
"Example Anchor 10kg","5. Deck Equipment & Comfort","5.1 Mooring & Anchoring","Lewmar","LW-ANC-10SS","Lewmar","185","275","pcs","15","5","true","true","true","Standard","Eagle 750;Eagle 850;Eagle 1000;Eagle 1200"
"Example Bimini Top","5. Deck Equipment & Comfort","5.5 Canvas & Covers","Navisol","NAV-BIM-850","","1250","1850","pcs","6","2","true","true","true","Optional","Eagle 850;Eagle 1000"
"Example Cushion Set","6. Interior & Finishing","6.1 Seating & Upholstery","Navisol","NAV-CUSH-PREM","","2200","3200","set","5","2","true","true","true","Standard","Eagle 750;Eagle 850;Eagle 1000;Eagle 1200"
"Example Fire Extinguisher","7. Safety & Certification","7.1 Safety Equipment","Gloria","GLO-FE-2ABC","Gloria GmbH","45","75","pcs","20","8","true","true","true","Standard","Eagle 750;Eagle 850;Eagle 1000;Eagle 1200"
"Example Installation Labour","9. Project & Operational Costs","9.1 Labour & Services","Navisol","NAV-LABOUR","","65","85","hour","999","0","true","true","true","Standard","Eagle 750;Eagle 850;Eagle 1000;Eagle 1200;Custom"
